空间,R10.2几何面积_m2,R10.4几何面积_m2,口径
主卧 A,22.3634,23.8376,房间几何边界；主卧不扣家具占地，非产权／现场面积
主卫·无淋浴,3.757,2.38,房间几何边界；主卧不扣家具占地，非产权／现场面积
卧室 B,11.0188,11.0188,房间几何边界；主卧不扣家具占地，非产权／现场面积
家庭厅,12.9808,12.9808,房间几何边界；主卧不扣家具占地，非产权／现场面积
玄关／走道,6.9759,6.9759,房间几何边界；主卧不扣家具占地，非产权／现场面积
客卫·唯一淋浴,3.2225,3.2225,房间几何边界；主卧不扣家具占地，非产权／现场面积
厨房,6.2953,6.2953,房间几何边界；主卧不扣家具占地，非产权／现场面积
客厅,24.6746,24.6746,房间几何边界；主卧不扣家具占地，非产权／现场面积
餐区,12.2438,12.2438,房间几何边界；主卧不扣家具占地，非产权／现场面积
卧室 D,12.5005,12.5005,房间几何边界；主卧不扣家具占地，非产权／现场面积
阳台 A,3.2755,3.2755,房间几何边界；主卧不扣家具占地，非产权／现场面积
洗烘阳台,2.7158,2.7158,房间几何边界；主卧不扣家具占地，非产权／现场面积
