核对点,模型x_mm,模型y_mm,原图x_px,原图y_px,投影x_px,投影y_px,残差_px,性质
A东北外角,6860,-10197,834,64,833.94,63.63,0.37,原图目视估读；非现场验收
A西北外角,-660,-10197,503,64,502.95,63.63,0.37,原图目视估读；非现场验收
B飘窗外上角,4726,-5400,740,277,740.01,276.44,0.56,原图目视估读；非现场验收
C飘窗外下角,4726,2200,740,614,740.01,613.6,0.4,原图目视估读；非现场验收
D飘窗外下角,2760,6962,654,825,653.48,824.85,0.54,原图目视估读；非现场验收
阳台B外东北,5213,-2844,764,390,761.45,389.83,2.56,原图目视估读；非现场验收
阳台A西南外角,-4412,6470,337,805,337.81,803.03,2.13,原图目视估读；非现场验收
入户下转折,-3650,-1370,371,457,371.35,455.22,1.81,原图目视估读；非现场验收
公卫东南墙外角,1720,-1250,609,462,607.7,460.55,1.95,原图目视估读；非现场验收
C西北端,0,0,532,516,532.0,516.0,0.0,原图目视估读；非现场验收
C/D东侧交点,3976,2998,707,649,707.0,649.0,0.0,原图目视估读；非现场验收
