风量m3h,室内℃,室外℃_敏感性,假设显热回收效率,显热负荷W,回收后送风℃
30,20,-5,0,251.3,-5
30,20,-5,0.7,75.4,12.5
30,20,-10,0,301.5,-10
30,20,-10,0.7,90.5,11.0
30,20,-15,0,351.8,-15
30,20,-15,0.7,105.5,9.5
60,20,-5,0,502.5,-5
60,20,-5,0.7,150.8,12.5
60,20,-10,0,603.0,-10
60,20,-10,0.7,180.9,11.0
60,20,-15,0,703.5,-15
60,20,-15,0.7,211.1,9.5
90,20,-5,0,753.8,-5
90,20,-5,0.7,226.1,12.5
90,20,-10,0,904.5,-10
90,20,-10,0.7,271.4,11.0
90,20,-15,0,1055.2,-15
90,20,-15,0.7,316.6,9.5
150,20,-5,0,1256.2,-5
150,20,-5,0.7,376.9,12.5
150,20,-10,0,1507.5,-10
150,20,-10,0.7,452.3,11.0
150,20,-15,0,1758.8,-15
150,20,-15,0.7,527.6,9.5
