编号,总高mm,座高mm,桌下净高mm,靠背起点mm,调节范围mm,依据
bedA,1050,,,,,床垫尺寸已分列；等宽无外伸床架仅概念，真实外尺寸待选型；另表复算外伸敏感性
bedB,1050,,,,,床垫尺寸已分列；等宽无外伸床架仅概念，真实外尺寸待选型；另表复算外伸敏感性
bedD,1050,,,,,床垫尺寸已分列；等宽无外伸床架仅概念，真实外尺寸待选型；另表复算外伸敏感性
desk,750,,705,,,概念外包络；无实物安装图，不是确定产品尺寸
study_chair,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
table4,750,,680,,,概念外包络；无实物安装图，不是确定产品尺寸
chair4_0,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair4_1,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair4_2,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair4_3,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
table6,750,,680,,,概念外包络；无实物安装图，不是确定产品尺寸
chair6_0,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair6_1,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair6_2,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair6_3,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair6_4,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
chair6_5,800,450,,450,,按用途区分的概念座高；非已选产品或人体适配通过
side_table,500,,455,,,概念外包络；无实物安装图，不是确定产品尺寸
lounge_chair,800,430,,430,,按用途区分的概念座高；非已选产品或人体适配通过
child_desk,750,,705,,,可调桌；安装高度随成长调整
child_chair,800,380,,380,,按用途区分的概念座高；非已选产品或人体适配通过
family_reading_chair,800,430,,430,,按用途区分的概念座高；非已选产品或人体适配通过
family_side_table,500,,455,,,概念外包络；无实物安装图，不是确定产品尺寸
A_bedside_west,550,,505,,,概念外包络；无实物安装图，不是确定产品尺寸
A_bedside_east,550,,505,,,概念外包络；无实物安装图，不是确定产品尺寸
