编号,名称,空间,西X_mm,南Y_mm,宽X_mm,深Y_mm,高_mm,底标高_mm,性质
bedA,主卧床,主卧 A,3720.0,7577.0,1800.0,2000.0,600,0,R10.4概念，非实测或下单
bedB,B床,卧室 B,2140.0,4047.0,1200.0,2000.0,600,0,R10.4概念，非实测或下单
bedD,D床,卧室 D,976.0,-5262.0,1500.0,2000.0,600,0,R10.4概念，非实测或下单
wardrobeB,B衣柜,卧室 B,640.0,4547.0,600.0,1500.0,2400,0,R10.4概念，非实测或下单
wardrobeD,D衣柜,卧室 D,3376.0,-5750.0,600.0,2400.0,2400,0,R10.4概念，非实测或下单
sofa,沙发,客厅,-4072.0,-3550.0,950.0,2700.0,850,0,R10.4概念，非实测或下单
screen,升降幕布,客厅,-1200.0,-3450.0,80.0,2450.0,80,2200,R10.4概念，非实测或下单
desk,书桌,家庭厅,-2280.0,5447.0,1700.0,700.0,750,0,R10.4概念，非实测或下单
study_chair,书椅,家庭厅,-1400.0,4997.0,500.0,500.0,800,0,R10.4概念，非实测或下单
study_storage,大件柜,家庭厅,-3410.0,4350.0,650.0,1000.0,2300,0,R10.4概念，非实测或下单
shoe,鞋柜,玄关／走道,-3380,2724,900,400,2400,0,R10.4概念，非实测或下单
fridge,冰箱,餐区,2500,-2998.0,975.0,750.0,2200,0,R10.4概念，非实测或下单
tower,电器高柜,餐区,1900,-2998.0,600.0,600.0,2200,0,R10.4概念，非实测或下单
coffee,咖啡柜,餐区,100,-2998.0,1800.0,600.0,900,0,R10.4概念，非实测或下单
island,岛台,餐区,2300,-975,1600,750,900,0,R10.4概念，非实测或下单
table4,四人桌,四人就座组,700.0,-900.0,1600.0,750.0,750,0,R10.4概念，非实测或下单
chair4_0,餐椅 0,四人就座组,850.0,-300.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair4_1,餐椅 1,四人就座组,1650.0,-300.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair4_2,餐椅 2,四人就座组,850.0,-1200.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair4_3,餐椅 3,四人就座组,1650.0,-1200.0,500.0,450.0,800,0,R10.4概念，非实测或下单
table6,六人桌,六人替代组,500.0,-900.0,1800.0,750.0,750,0,R10.4概念，非实测或下单
chair6_0,餐椅 0,六人替代组,550.0,-300.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair6_1,餐椅 1,六人替代组,1150.0,-300.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair6_2,餐椅 2,六人替代组,1750.0,-300.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair6_3,餐椅 3,六人替代组,550.0,-1200.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair6_4,餐椅 4,六人替代组,1150.0,-1200.0,500.0,450.0,800,0,R10.4概念，非实测或下单
chair6_5,餐椅 5,六人替代组,1750.0,-1200.0,500.0,450.0,800,0,R10.4概念，非实测或下单
hob,灶台,厨房,1720.0,2124.0,680.0,600.0,900,0,R10.4概念，非实测或下单
prep,备菜柜,厨房,2400.0,2124.0,800.0,600.0,900,0,R10.4概念，非实测或下单
sink,主槽柜,厨房,3200.0,2124.0,776.0,600.0,900,0,R10.4概念，非实测或下单
Bath_A_basin,主卫洗手盆,主卫·无淋浴,530,9500,700,430,850,0,R10.4概念，非实测或下单
Bath_A_wc,主卫马桶,主卫·无淋浴,-280,9200,400,650,750,0,R10.4概念，非实测或下单
Bath_Public_basin,客卫洗手盆,客卫·唯一淋浴,700.0,2250.0,700.0,430.0,850,0,R10.4概念，非实测或下单
Bath_Public_wc,客卫马桶,客卫·唯一淋浴,700.0,1380.0,400.0,650.0,750,0,R10.4概念，非实测或下单
shower_public,客卫淋浴,客卫·唯一淋浴,-750.0,1830.0,850.0,850.0,2100,0,R10.4概念，非实测或下单
laundry,洗烘,洗烘阳台,4216.0,1840.0,750.0,650.0,1800,0,R10.4概念，非实测或下单
study_shallow,浅柜,家庭厅,-3410,3174,450,1176,2300,0,R10.4概念，非实测或下单
side_table,边几,客厅,-3980.0,-4120.0,450.0,450.0,500,0,R10.4概念，非实测或下单
lounge_chair,单椅,客厅,-2100.0,-4500.0,800.0,850.0,800,0,R10.4概念，非实测或下单
floor_lamp,落地灯,客厅,-3700.0,-4600.0,350.0,350.0,1600,0,R10.4概念，非实测或下单
entry_wardrobe,入口衣柜,主卧 A,-420,7837,3200,600,2400,0,R10.4概念，非实测或下单
