床,床垫mm,真实床架mm,各侧假设外伸mm,复算外包络mm,固定命中,开门命中,儿童床尾净距mm,判断
bedA,"[1800.0, 2000.0]",,0,"[3720.0, 7577.0, 1800.0, 2000.0]",,,,仍待真实床架；算例不代表适配通过
bedA,"[1800.0, 2000.0]",,25,"[3695.0, 7552.0, 1850.0, 2050.0]",A_bedside_west；A_bedside_east,,,实体冲突（敏感性算例）
bedA,"[1800.0, 2000.0]",,50,"[3670.0, 7527.0, 1900.0, 2100.0]",A_bedside_west；A_bedside_east,,,实体冲突（敏感性算例）
bedA,"[1800.0, 2000.0]",,100,"[3620.0, 7477.0, 2000.0, 2200.0]",A_bedside_west；A_bedside_east,,,实体冲突（敏感性算例）
bedB,"[1200.0, 2000.0]",,0,"[2140.0, 4047.0, 1200.0, 2000.0]",,,553,仍待真实床架；算例不代表适配通过
bedB,"[1200.0, 2000.0]",,25,"[2115.0, 4022.0, 1250.0, 2050.0]",,,528,仍待真实床架；算例不代表适配通过
bedB,"[1200.0, 2000.0]",,50,"[2090.0, 3997.0, 1300.0, 2100.0]",,,503,仍待真实床架；算例不代表适配通过
bedB,"[1200.0, 2000.0]",,100,"[2040.0, 3947.0, 1400.0, 2200.0]",,,453,仍待真实床架；算例不代表适配通过
bedD,"[1500.0, 2000.0]",,0,"[976.0, -5262.0, 1500.0, 2000.0]",,,,仍待真实床架；算例不代表适配通过
bedD,"[1500.0, 2000.0]",,25,"[951.0, -5287.0, 1550.0, 2050.0]",D_bedside,,,实体冲突（敏感性算例）
bedD,"[1500.0, 2000.0]",,50,"[926.0, -5312.0, 1600.0, 2100.0]",D_bedside,,,实体冲突（敏感性算例）
bedD,"[1500.0, 2000.0]",,100,"[876.0, -5362.0, 1700.0, 2200.0]",D_bedside,,,实体冲突（敏感性算例）
