工况,房间,设备,需求m3h,标称m3h,夜间m3h,标称最小缺口m3h,夜间缺口m3h,判断
daily,Living,TCL_P7,90,30,,60,,不足
daily,Living,TCL_C7,90,,,,,条件不足
daily,Living,TCL_ULTRA,90,60,,30,,不足
night,Bedroom_A,TCL_P7,60,30,,30,,不足
night,Bedroom_A,TCL_C7,60,,,,,条件不足
night,Bedroom_A,TCL_ULTRA,60,60,,0,,条件不足
night,Bedroom_B,TCL_P7,30,30,,0,,条件不足
night,Bedroom_B,TCL_C7,30,,,,,条件不足
night,Bedroom_B,TCL_ULTRA,30,60,,0,,条件不足
guest_night,Bedroom_A,TCL_P7,60,30,,30,,不足
guest_night,Bedroom_A,TCL_C7,60,,,,,条件不足
guest_night,Bedroom_A,TCL_ULTRA,60,60,,0,,条件不足
guest_night,Bedroom_B,TCL_P7,30,30,,0,,条件不足
guest_night,Bedroom_B,TCL_C7,30,,,,,条件不足
guest_night,Bedroom_B,TCL_ULTRA,30,60,,0,,条件不足
guest_night,Bedroom_D,TCL_P7,60,30,,30,,不足
guest_night,Bedroom_D,TCL_C7,60,,,,,条件不足
guest_night,Bedroom_D,TCL_ULTRA,60,60,,0,,条件不足
reading,Study,TCL_P7,90,30,,60,,不足
reading,Study,TCL_C7,90,,,,,条件不足
reading,Study,TCL_ULTRA,90,60,,30,,不足
