路线,人数,餐椅状态,鞋柜状态,600实体命中,额外10mm命中,错时操作,条件
入户至洗烘完整候选,4,正常,关闭,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,4,正常,全开,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,单椅:chair4_0,关闭,chair4_0,chair4_0,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,单椅:chair4_0,全开,chair4_0；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair4_0；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,单椅:chair4_1,关闭,chair4_1,chair4_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,单椅:chair4_1,全开,chair4_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair4_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,单椅:chair4_2,关闭,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,4,单椅:chair4_2,全开,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,单椅:chair4_3,关闭,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,4,单椅:chair4_3,全开,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,全部拉出,关闭,chair4_0；chair4_1,chair4_0；chair4_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,4,全部拉出,全开,chair4_0；chair4_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair4_0；chair4_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,正常,关闭,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,6,正常,全开,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_0,关闭,chair6_0,chair6_0,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_0,全开,chair6_0；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair6_0；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_1,关闭,chair6_1,chair6_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_1,全开,chair6_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair6_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
