编号,房间,用途,西X_mm,南Y_mm,宽_mm,深_mm,底标高_mm,高_mm,条件
entry_hooks,玄关／走道,包与外套挂钩区,-3410,1450,35,350,1100,550,壁面或柜内分区概念；固定与电气待核
A_west_charge,主卧 A,床头充电插座,3470,9837,100,40,650,80,壁面或柜内分区概念；固定与电气待核
A_west_light,主卧 A,床头阅读壁灯,3470,9837,100,40,1200,180,壁面或柜内分区概念；固定与电气待核
A_east_charge,主卧 A,床头充电插座,5650,9837,100,40,650,80,壁面或柜内分区概念；固定与电气待核
A_east_light,主卧 A,床头阅读壁灯,5650,9837,100,40,1200,180,壁面或柜内分区概念；固定与电气待核
D_charge,客房 D,床头充电插座,2590,-3168,100,40,650,80,壁面或柜内分区概念；固定与电气待核
D_light,客房 D,床头阅读壁灯,2590,-3168,100,40,1200,180,壁面或柜内分区概念；固定与电气待核
A_dirty_linen,主卧 A,衣柜西模块内脏衣篮,-350,7930,600,400,120,550,壁面或柜内分区概念；固定与电气待核
child_bag,儿童房 B,书包挂放区,3906,2944,70,250,900,350,壁面或柜内分区概念；固定与电气待核
child_toys,儿童房 B,桌下北段玩具盒,2826,2944,400,350,100,350,壁面或柜内分区概念；固定与电气待核
family_low_books,家庭厅,浅柜北段低层童书,-3350,3800,330,450,300,600,壁面或柜内分区概念；固定与电气待核
D_luggage,客房 D,衣柜北段内行李位,3460,-3960,430,550,120,550,壁面或柜内分区概念；固定与电气待核
master_mirror,主卫·无淋浴,镜面收纳,550,9917,600,40,1100,700,壁面或柜内分区概念；固定与电气待核
master_towel,主卫·无淋浴,盆侧毛巾,1235,9520,35,300,1000,400,壁面或柜内分区概念；固定与电气待核
public_mirror,客卫·唯一淋浴,盆上镜柜,1560,1430,40,540,1100,700,壁面或柜内分区概念；固定与电气待核
laundry_detergent,洗烘阳台,洗涤剂壁柜,4216,2490,700,200,1850,500,壁面或柜内分区概念；固定与电气待核
