状态,房间,西X,南Y,宽,深,固定命中,全开门命中,结论
child_seated,儿童房 B,3276,3444,700,600,,,矩形占位无固定命中；非人体工学认证
child_pull,儿童房 B,3376,3494,500,500,,,矩形占位无固定命中；非人体工学认证
child_play,儿童房 B,1740,2844,900,900,,,矩形占位无固定命中；非人体工学认证
child_bay_access,儿童房 B,3376,4144,600,1100,,,矩形占位无固定命中；非人体工学认证
family_legs,家庭厅,-2610,4200,550,850,,,矩形占位无固定命中；非人体工学认证
study_pull,家庭厅,-1180,4497,500,500,,,矩形占位无固定命中；非人体工学认证
public_changing,客卫·唯一淋浴,250,1400,800,600,,,矩形占位无固定命中；非人体工学认证
public_wc_use,客卫·唯一淋浴,350,1424,600,600,,,矩形占位无固定命中；非人体工学认证
public_basin_use,客卫·唯一淋浴,570,1400,600,600,,,矩形占位无固定命中；非人体工学认证
shower_entry,客卫·唯一淋浴,120,1370,600,600,,,矩形占位无固定命中；非人体工学认证
shoe_seat_folded,玄关／走道,-3410,1420,60,400,,,矩形占位无固定命中；非人体工学认证
shoe_seat_open,玄关／走道,-3410,1420,420,400,,,矩形占位无固定命中；非人体工学认证
basket_wait,客厅,-2600,250,620,620,,,矩形占位无固定命中；非人体工学认证
laundry_loading,洗烘阳台,4216,1190,750,650,,,矩形占位无固定命中；非人体工学认证
laundry_folded,洗烘阳台,5033,100,60,600,,,矩形占位无固定命中；非人体工学认证
laundry_table_open,洗烘阳台,4693,100,400,600,,,矩形占位无固定命中；非人体工学认证
laundry_hanging,洗烘阳台,4393,100,700,600,,,矩形占位无固定命中；非人体工学认证
balconyA_hanging,阳台 A,-1767,-6250,600,800,,,矩形占位无固定命中；非人体工学认证
screen_down,客厅,-1200.0,-3200.0,80.0,2450.0,,,矩形占位无固定命中；非人体工学认证
lounge_legs,客厅,-1300,-4625,550,600,,,矩形占位无固定命中；非人体工学认证
B_wardrobe_access,儿童房 B,1240,4547,900,1500,,,矩形占位无固定命中；非人体工学认证
D_wardrobe_access,客房 D,2476,-5750,900,2400,,,矩形占位无固定命中；非人体工学认证
A_bed_west,主卧 A,3120,7577,600,1500,,,矩形占位无固定命中；非人体工学认证
A_bed_east,主卧 A,5520,7577,600,1500,,,矩形占位无固定命中；非人体工学认证
