过程,核验宽度mm,固定及门命中,使用区域重叠,结论
入户收纳,500,,,该宽度候选线无实体命中；操作重叠须错时
入户收纳,600,,,该宽度候选线无实体命中；操作重叠须错时
入户收纳,620,,,该宽度候选线无实体命中；操作重叠须错时
入户收纳,900,entry_jamb_0；entry_jamb_1；entry_leaf；entry_leaf_handle_0；entry_leaf_handle_1；family_entry_jamb_0；family_entry_main_leaf；family_entry_main_leaf_handle_0；family_entry_main_leaf_handle_1；family_entry_secondary_leaf；family_entry_secondary_leaf_handle_0；family_entry_secondary_leaf_handle_1；family_reading_chair；family_side_table；shoe；shoe_wall_door_return；shoe_wall_west_return；wall_family_west_0,family_legs,候选中心线受阻；不作通行通过
孩子睡眠与学习,500,,B_wardrobe_access；child_play,该宽度候选线无实体命中；操作重叠须错时
孩子睡眠与学习,600,,B_wardrobe_access；child_play,该宽度候选线无实体命中；操作重叠须错时
孩子睡眠与学习,620,,B_wardrobe_access；child_play,该宽度候选线无实体命中；操作重叠须错时
孩子睡眠与学习,900,B_door_jamb_0；B_door_jamb_1；B_door_leaf；bedB；child_desk；wall_B_west1_0,B_wardrobe_access；child_play,候选中心线受阻；不作通行通过
家庭共读,500,,,该宽度候选线无实体命中；操作重叠须错时
家庭共读,600,,,该宽度候选线无实体命中；操作重叠须错时
家庭共读,620,,,该宽度候选线无实体命中；操作重叠须错时
家庭共读,900,,,该宽度候选线无实体命中；操作重叠须错时
夜间如厕,500,,A_bed_west,该宽度候选线无实体命中；操作重叠须错时
夜间如厕,600,master_bath_door_jamb_1；master_bath_door_leaf_handle_1,A_bed_west,候选中心线受阻；不作通行通过
夜间如厕,620,master_bath_door_jamb_1；master_bath_door_leaf_handle_1,A_bed_west,候选中心线受阻；不作通行通过
夜间如厕,900,A_bedside_west；Bath_A_basin；entry_wardrobe；master_bath_door_jamb_0；master_bath_door_jamb_1；master_bath_door_leaf；master_bath_door_leaf_handle_0；master_bath_door_leaf_handle_1；wall_master_bath_east1_0；wall_master_bath_east2_0,A_bed_west,候选中心线受阻；不作通行通过
备餐就餐,500,,,该宽度候选线无实体命中；操作重叠须错时
备餐就餐,600,,,该宽度候选线无实体命中；操作重叠须错时
备餐就餐,620,,,该宽度候选线无实体命中；操作重叠须错时
备餐就餐,900,wall_bath_east_0；wall_bath_south2_0,,候选中心线受阻；不作通行通过
洗浴换衣,500,,public_basin_use；public_changing；public_wc_use；shower_entry,该宽度候选线无实体命中；操作重叠须错时
洗浴换衣,600,,public_basin_use；public_changing；public_wc_use；shower_entry,该宽度候选线无实体命中；操作重叠须错时
洗浴换衣,620,,public_basin_use；public_changing；public_wc_use；shower_entry,该宽度候选线无实体命中；操作重叠须错时
洗浴换衣,900,Bath_Public_wc；bath_door_jamb_0；bath_door_jamb_1；wall_bath_south1_0；wall_bath_south2_0,public_basin_use；public_changing；public_wc_use；shower_entry,候选中心线受阻；不作通行通过
洗烘归柜,500,,basket_wait；laundry_hanging；laundry_table_open,该宽度候选线无实体命中；操作重叠须错时
洗烘归柜,600,,basket_wait；laundry_hanging；laundry_table_open,该宽度候选线无实体命中；操作重叠须错时
洗烘归柜,620,,basket_wait；laundry_hanging；laundry_table_open,该宽度候选线无实体命中；操作重叠须错时
洗烘归柜,900,A_door_jamb_0；A_door_jamb_1；A_door_leaf；A_door_leaf_handle_0；A_door_leaf_handle_1；balconyB_door_jamb_0；balconyB_door_jamb_1；balconyB_door_leaf；balconyB_door_leaf_handle_0；balconyB_door_leaf_handle_1；bath_door_jamb_0；bath_door_jamb_1；bath_door_leaf；entry_wardrobe；family_entry_jamb_0；family_entry_main_leaf；family_entry_main_leaf_handle_0；family_entry_main_leaf_handle_1；family_entry_secondary_leaf；family_entry_secondary_leaf_handle_0；family_entry_secondary_leaf_handle_1；family_reading_chair；family_side_table；shoe；shoe_wall_door_return；wall_A_west_0；wall_balconyB_div1_0；wall_bath_east_0；wall_bath_south1_0；wall_bath_south2_0；wall_family_north_0,basket_wait；family_legs；laundry_hanging；laundry_loading；laundry_table_open；shoe_seat_open,候选中心线受阻；不作通行通过
客房与阳台休闲,500,,,该宽度候选线无实体命中；操作重叠须错时
客房与阳台休闲,600,,,该宽度候选线无实体命中；操作重叠须错时
客房与阳台休闲,620,,,该宽度候选线无实体命中；操作重叠须错时
客房与阳台休闲,900,,,该宽度候选线无实体命中；操作重叠须错时
客房入口,500,,,该宽度候选线无实体命中；操作重叠须错时
客房入口,600,,,该宽度候选线无实体命中；操作重叠须错时
客房入口,620,,,该宽度候选线无实体命中；操作重叠须错时
